company_name,year,cluster_label,cluster,financial_health_score,net_profit_margin_percentage,gross_profit_margin_percentage,ebitda_margin_percentage,current_ratio,debt_equity_ratio,roe,roa,roi,asset_turnover_ratio,cfo_percentage,cfi_percentage,cff_percentage,revenue,net_income,market_capitalization
BCS,2009,At Risk,1,61.90646146043647,11.95396,100.0,0.002174,1.0,8.5152,19.5283,0.8282,5.1862,0.052785,79.407902,21.846474,-1.254376,45992.04,5497.87,36.84
BCS,2010,At Risk,1,61.95520714952606,14.346522,100.0,0.00204,1.0,9.3328,6.0555,0.2531,1.5241,0.049286,141.367846,-42.570743,1.202897,49030.07,7034.11,47.13
BCS,2011,At Risk,1,61.94845859509758,12.971951,100.0,0.002046,1.0,7.6045,4.6122,0.1923,1.368,0.054294,137.126248,-9.016307,-28.109941,48866.82,6338.98,33.47
BCS,2012,At Risk,1,61.81289542292754,-3.584342,100.0,0.002172,1.0,7.688,-0.3749,-0.0158,-0.0829,0.053098,57.978608,30.008046,12.013347,46036.06,-1650.09,52.82
BCS,2013,At Risk,1,61.83577571512321,1.936646,100.0,0.002288,1.0,6.6208,2.0282,0.0988,0.547,0.057321,60.068247,54.033741,-14.101989,43712.69,846.56,55.49
BCS,2014,At Risk,1,62.15624487556385,-0.474529,100.0,0.002399,1.0,5.0612,1.2811,0.0622,0.3671,0.063254,367.124226,-374.64899,107.524764,41677.15,-197.77,60.47
BCS,2015,At Risk,1,62.00348647119696,-1.272895,100.0,0.002569,1.0,3.6646,0.9459,0.0556,0.251,0.08285,222.363282,-116.283027,-6.080256,38919.16,-495.4,53.45
BCS,2016,At Risk,1,61.82264829227704,8.162789,100.0,0.00344,1.0,3.5002,3.1346,0.1844,0.8387,0.066793,24.179454,78.642124,-2.821578,29072.54,2373.13,46.21
BCS,2017,At Risk,1,61.844271325890574,-9.119364,100.0,0.003682,1.0,5.2797,1.9707,0.1148,0.3862,0.050839,93.152171,5.373311,1.474518,27162.75,-2477.07,45.79
BCS,2018,At Risk,1,62.164431593563506,6.595379,100.0,0.003545,1.0,5.8975,3.7191,0.2093,0.6186,0.048046,355.221545,28.279054,-283.500599,28212.33,1860.71,31.68
BCS,2019,At Risk,1,61.867966763411744,15.134983,100.0,0.00362,1.0,5.3348,5.1081,0.2942,0.9201,0.052007,50.325411,52.498866,-2.824277,27621.9,4180.57,40.78
